Chemical species: H2 He H2O CO2
P (bar) | log_H2: -2σ | log_H2: -1σ | log_H2: median | log_H2: +1σ | log_H2: +2σ 
6.57933225e-04 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
5.33669923e-04 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
4.32876128e-04 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
3.51119173e-04 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
2.84803587e-04 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
2.31012970e-04 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.87381742e-04 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.51991108e-04 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.23284674e-04 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.00000000e-04 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
8.11130831e-05 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
6.57933225e-05 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
5.33669923e-05 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
4.32876128e-05 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
3.51119173e-05 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
2.84803587e-05 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
2.31012970e-05 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.87381742e-05 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.51991108e-05 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.23284674e-05 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.00000000e-05 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
8.11130831e-06 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
6.57933225e-06 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
5.33669923e-06 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
4.32876128e-06 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
3.51119173e-06 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
2.84803587e-06 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
2.31012970e-06 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.87381742e-06 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.51991108e-06 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.23284674e-06 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.00000000e-06 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
8.11130831e-07 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
6.57933225e-07 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
5.33669923e-07 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
4.32876128e-07 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
3.51119173e-07 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
2.84803587e-07 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
2.31012970e-07 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.87381742e-07 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.51991108e-07 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.23284674e-07 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
1.00000000e-07 -2.36027975 -1.88523655 -1.61917752 -1.45104378 -1.32030799 
P (bar) | log_CO2: -2σ | log_CO2: -1σ | log_CO2: median | log_CO2: +1σ | log_CO2: +2σ 
1.00000000e+02 -4.39040907 -3.80929239 -3.49226353 -3.24629956 -3.03647500 
